0.000000000000000000e+00 9.995512527551549953e-01
1.000000000000000021e-02 9.993794675050046150e-01
2.000000000000000042e-02 9.992175948199442104e-01
2.999999999999999889e-02 9.990614992522339755e-01
4.000000000000000083e-02 9.989094474885814590e-01
5.000000000000000278e-02 9.987606364578853757e-01
5.999999999999999778e-02 9.986147257738993144e-01
7.000000000000000666e-02 9.984716311103413178e-01
8.000000000000000167e-02 9.983314119134828468e-01
8.999999999999999667e-02 9.981942027824765029e-01
1.000000000000000056e-01 9.980601692614911036e-01
1.100000000000000006e-01 9.979294791247894647e-01
1.199999999999999956e-01 9.978022842214534505e-01
1.300000000000000044e-01 9.976787097464568932e-01
1.400000000000000133e-01 9.975588487611849464e-01
1.499999999999999944e-01 9.974427603761657490e-01
1.600000000000000033e-01 9.973304704155508960e-01
1.700000000000000122e-01 9.972219736833546344e-01
1.799999999999999933e-01 9.971172371816662272e-01
1.900000000000000022e-01 9.970162038094432244e-01
2.000000000000000111e-01 9.969187962085988008e-01
2.099999999999999922e-01 9.968249205301977778e-01
2.200000000000000011e-01 9.967344699736395697e-01
2.300000000000000100e-01 9.966473280113767874e-01
2.399999999999999911e-01 9.965633712547852241e-01
2.500000000000000000e-01 9.964824719474221215e-01
2.600000000000000089e-01 9.964045000925607631e-01
2.700000000000000178e-01 9.963293252352950491e-01
2.800000000000000266e-01 9.962568179275278490e-01
2.899999999999999800e-01 9.961868509081279743e-01
2.999999999999999889e-01 9.961193000319489288e-01
3.099999999999999978e-01 9.960540449808250596e-01
3.200000000000000067e-01 9.959909697879162360e-01
3.300000000000000155e-01 9.959299632043612238e-01
3.400000000000000244e-01 9.958709189344014945e-01
3.500000000000000333e-01 9.958137357621786867e-01
3.599999999999999867e-01 9.957583175905543316e-01
3.699999999999999956e-01 9.957045734095619771e-01
3.800000000000000044e-01 9.956524172095265746e-01
3.900000000000000133e-01 9.956017678516416725e-01
4.000000000000000222e-01 9.955525489067109657e-01
4.100000000000000311e-01 9.955046884709599642e-01
4.199999999999999845e-01 9.954581189662696783e-01
4.299999999999999933e-01 9.954127769308073193e-01
4.400000000000000022e-01 9.953686028048769341e-01
4.500000000000000111e-01 9.953255407158537738e-01
4.600000000000000200e-01 9.952835382651974427e-01
4.700000000000000289e-01 9.952425463198721900e-01
4.799999999999999822e-01 9.952025188099348219e-01
4.899999999999999911e-01 9.951634125335575565e-01
